No,Termo de busca,Plataforma,Tipo de modificador,Modificador,Palavra-chave,Idioma,País,Volume,CPC (US$)
1,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a56","pt","br","27.1K","0.31"
2,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a16","pt","br","18.1K","0.42"
3,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a15","pt","br","12.1K","0.26"
4,"Celular Samsung","Google","Ordem alfabética","a","celular samsung antigo","pt","br","0","-"
5,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a55","pt","br","0","-"
6,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a06","pt","br","0","-"
7,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a56 256gb","pt","br","0","-"
8,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a36","pt","br","0","-"
9,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a17","pt","br","0","-"
10,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a07","pt","br","0","-"
11,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a26","pt","br","0","-"
12,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a14","pt","br","0","-"
13,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a36 256gb","pt","br","0","-"
14,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a57","pt","br","0","-"
15,"Celular Samsung","Google","Ordem alfabética","a","celular samsung a17 256gb","pt","br","0","-"
16,"Celular Samsung","Google","Ordem alfabética","b","celular samsung barato","pt","br","22.2K","0.36"
17,"Celular Samsung","Google","Ordem alfabética","b","celular samsung bom e barato","pt","br","8.1K","0.29"
18,"Celular Samsung","Google","Ordem alfabética","b","celular samsung bom","pt","br","5.4K","0.23"
19,"Celular Samsung","Google","Ordem alfabética","b","celular samsung barato novo","pt","br","0","-"
20,"Celular Samsung","Google","Ordem alfabética","b","celular samsung bom e barato 256gb","pt","br","0","-"
21,"Celular Samsung","Google","Ordem alfabética","b","celular samsung branco","pt","br","0","-"
22,"Celular Samsung","Google","Ordem alfabética","b","celular samsung bom e barato 2026","pt","br","0","-"
23,"Celular Samsung","Google","Ordem alfabética","b","celular samsung bom e barato 128gb","pt","br","0","-"
24,"Celular Samsung","Google","Ordem alfabética","b","celular samsung bom custo beneficio","pt","br","0","-"
25,"Celular Samsung","Google","Ordem alfabética","b","celular samsung bom para jogos","pt","br","0","-"
26,"Celular Samsung","Google","Ordem alfabética","b","celular samsung bemol","pt","br","0","-"
27,"Celular Samsung","Google","Ordem alfabética","b","celular samsung bom de camera","pt","br","0","-"
28,"Celular Samsung","Google","Ordem alfabética","b","celular samsung barato com camera boa","pt","br","0","-"
29,"Celular Samsung","Google","Ordem alfabética","b","celular samsung bom 2026","pt","br","0","-"
30,"Celular Samsung","Google","Ordem alfabética","b","celular samsung bom custo beneficio 2026","pt","br","0","-"
31,"Celular Samsung","Google","Ordem alfabética","c","celular samsung casas bahia","pt","br","9.9K","0.22"
32,"Celular Samsung","Google","Ordem alfabética","c","celular samsung carrefour","pt","br","1.9K","0.14"
33,"Celular Samsung","Google","Ordem alfabética","c","celular samsung com nfc","pt","br","1.9K","0.34"
34,"Celular Samsung","Google","Ordem alfabética","c","celular samsung com camera boa","pt","br","0","-"
35,"Celular Samsung","Google","Ordem alfabética","c","celular samsung com caneta","pt","br","0","-"
36,"Celular Samsung","Google","Ordem alfabética","c","celular samsung custo beneficio","pt","br","0","-"
37,"Celular Samsung","Google","Ordem alfabética","c","celular samsung com carregamento por indução","pt","br","0","-"
38,"Celular Samsung","Google","Ordem alfabética","c","celular samsung com a melhor câmera","pt","br","0","-"
39,"Celular Samsung","Google","Ordem alfabética","c","celular samsung com melhor custo benefício","pt","br","0","-"
40,"Celular Samsung","Google","Ordem alfabética","c","celular samsung com bateria de 6000mah","pt","br","0","-"
41,"Celular Samsung","Google","Ordem alfabética","c","celular samsung camera boa e barato","pt","br","0","-"
42,"Celular Samsung","Google","Ordem alfabética","c","celular samsung com bateria de 7000mah","pt","br","0","-"
43,"Celular Samsung","Google","Ordem alfabética","c","celular samsung caiu no chão e não liga mais","pt","br","0","-"
44,"Celular Samsung","Google","Ordem alfabética","c","celular samsung custo beneficio 2026","pt","br","0","-"
45,"Celular Samsung","Google","Ordem alfabética","c","celular samsung com 512gb de memória","pt","br","0","-"
46,"Celular Samsung","Google","Ordem alfabética","d","celular samsung dobravel","pt","br","2.4K","0.13"
47,"Celular Samsung","Google","Ordem alfabética","d","celular samsung de abrir e fechar","pt","br","590","0.14"
